X1;tahun;judul;keterangan;urls;topik_no;topik;abstrak
37;2015;Semantically Conditioned LSTM-based Natural Language Generation for Spoken Dialogue Systems;TLDR: Proposes a neural natural language generator that jointly optimises sentence planning and surface realization, outperforming other systems on human eval.;https://arxiv.org/pdf/1508.01745.pdf;10; Natural Language Generation/Summarization;Natural language generation (NLG) is a critical component of spoken dialogue and it has a significant impact both on usabil- ity and perceived quality. Most NLG sys- tems in common use employ rules and heuristics and tend to generate rigid and stylised responses without the natural vari- ation of human language. They are also not easily scaled to systems covering mul- tiple domains and languages. This pa- per presents a statistical language gener- ator based on a semantically controlled Long Short-term Memory (LSTM) struc- ture. The LSTM generator can learn from unaligned data by jointly optimising sen- tence planning and surface realisation us- ing a simple cross entropy training crite- rion, and language variation can be eas- ily achieved by sampling from output can- didates. With fewer heuristics, an objec- tive evaluation in two differing test do- mains showed the proposed method im- proved performance compared to previ- ous methods. Human judges scored the LSTM system higher on informativeness and naturalness and overall preferred it to the other systems. 
38;2016;How NOT To Evaluate Your Dialogue System: An Empirical Study of Unsupervised Evaluation Metrics for Dialogue Response Generation;TLDR: Important work demonstrating that existing automatic metrics used for dialogue woefully do not correlate well with human judgment.;https://arxiv.org/pdf/1603.08023.pdf;10; Natural Language Generation/Summarization;We investigate evaluation metrics for dialogue response generation systems where supervised labels, such as task completion, are not avail- able. Recent works in response generation have adopted metrics from machine transla- tion to compare a model’s generated response to a single target response. We show that these metrics correlate very weakly with hu- man judgements in the non-technical Twitter domain, and not at all in the technical Ubuntu domain. We provide quantitative and quali- tative results highlighting specific weaknesses in existing metrics, and provide recommenda- tions for future development of better auto- matic evaluation metrics for dialogue systems. 
39;2016;A Network-based End-to-End Trainable Task-oriented Dialogue System;TLDR: Proposes a neat architecture for decomposing a dialogue system into a number of individually-trained neural network components.;https://arxiv.org/pdf/1604.04562.pdf;11; Dialogue Systems;Teaching machines to accomplish tasks by conversing naturally with humans is challenging. Currently, developing task- oriented dialogue systems requires creating multiple components and typically this in- volves either a large amount of handcraft- ing, or acquiring costly labelled datasets to solve a statistical learning problem for each component. In this work we intro- duce a neural network-based text-in, text- out end-to-end trainable goal-oriented di- alogue system along with a new way of collecting dialogue data based on a novel pipe-lined Wizard-of-Oz framework. This approach allows us to develop dialogue sys- tems easily and without making too many assumptions about the task at hand. The results show that the model can converse with human subjects naturally whilst help- ing them to accomplish tasks in a restaurant search domain. 
40;2016;A Diversity-Promoting Objective Function for Neural Conversation Models;TLDR: Introduces a maximum mutual information objective function for training dialogue systems.;https://arxiv.org/pdf/1510.03055.pdf;11; Dialogue Systems;Sequence-to-sequence neural network mod- els for generation of conversational responses tend to generate safe, commonplace responses (e.g., I don’t know) regardless of the input. We suggest that the traditional objective func- tion, i.e., the likelihood of output (response) given input (message) is unsuited to response generation tasks. Instead we propose using Maximum Mutual Information (MMI) as the objective function in neural models. Experi- mental results demonstrate that the proposed MMI models produce more diverse, interest- ing, and appropriate responses, yielding sub- stantive gains in BLEU scores on two conver- sational datasets and in human evaluations. 
41;2016;The Dialogue State Tracking Challenge Series: A Review;TLDR: A nice overview of the dialogue state tracking challenges for dialogue systems.;https://pdfs.semanticscholar.org/4ba3/39bd571585fadb1fb1d14ef902b6784f574f.pdf;11; Dialogue Systems;"In a spoken dialog system, dialog state tracking refers to the task of correctly inferring the state of the conversation – such as the user’s goal – given all of the dialog history up to that turn. Dialog state tracking is crucial to the success of a dialog system, yet until recently there were no common resources, hampering progress. The Dialog State Tracking Challenge series of 3 tasks introduced the first shared testbed and evaluation metrics for dialog state tracking, and has underpinned three key advances in dialog state tracking: the move from generative to discriminative models; the adoption of discriminative sequential techniques; and the incorporation of the speech recognition results directly into the dialog state tracker. This paper reviews this research area, covering both the challenge tasks themselves and summarizing the work they have enabled."
42;2017;A Copy-Augmented Sequence-to-Sequence Architecture Gives Good Performance on Task-Oriented Dialogue;TLDR: Shows that simple sequence-to-sequence architectures with a copy mechanism can perform competitively on existing task-oriented dialogue datasets.;https://arxiv.org/pdf/1701.04024.pdf;11; Dialogue Systems;Task-oriented dialogue focuses on con- versational agents that participate in dia- logues with user goals on domain-specific topics. In contrast to chatbots, which sim- ply seek to sustain open-ended meaning- ful discourse, existing task-oriented agents usually explicitly model user intent and belief states. This paper examines bypass- ing such an explicit representation by de- pending on a latent neural embedding of state and learning selective attention to di- alogue history together with copying to in- corporate relevant prior context. We com- plement recent work by showing the effec- tiveness of simple sequence-to-sequence neural architectures with a copy mecha- nism. Our model outperforms more com- plex memory-augmented models by 7% in per-response generation and is on par with the current state-of-the-art on DSTC2, a real-world task-oriented dialogue dataset 
43;2017;Key-Value Retrieval Networks for Task-Oriented Dialogue;TLDR: Introduces a new multidomain dataset for task-oriented dataset as well as an architecture for softly incorporating information from structured knowledge bases into dialogue systems.;https://arxiv.org/pdf/1705.05414.pdf;11; Dialogue Systems;Neural task-oriented dialogue systems of- ten struggle to smoothly interface with a knowledge base. In this work, we seek to address this problem by proposing a new neural dialogue agent that is able to effec- tively sustain grounded, multi-domain dis- course through a novel key-value retrieval mechanism. The model is end-to-end dif- ferentiable and does not need to explicitly model dialogue state or belief trackers. We also release a new dataset of 3,031 dia- logues that are grounded through underly- ing knowledge bases and span three dis- tinct tasks in the in-car personal assistant space: calendar scheduling, weather infor- mation retrieval, and point-of-interest nav- igation. Our architecture is simultaneously trained on data from all domains and sig- nificantly outperforms a competitive rule- based system and other existing neural di- alogue architectures on the provided do- mains according to both automatic and hu- man evaluation metrics. 
44;2017;Learning Symmetric Collaborative Dialogue Agents with Dynamic Knowledge Graph Embeddings;TLDR: Introduces a new collaborative dialogue dataset, as well as an architecture for representing structured knowledge via knowledge graph embeddings.;https://arxiv.org/pdf/1704.07130.pdf;11; Dialogue Systems;We study a symmetric collaborative dia- logue setting in which two agents, each with private knowledge, must strategically communicate to achieve a common goal. The open-ended dialogue state in this set- ting poses new challenges for existing di- alogue systems. We collected a dataset of 11K human-human dialogues, which exhibits interesting lexical, semantic, and strategic elements. To model both struc- tured knowledge and unstructured lan- guage, we propose a neural model with dy- namic knowledge graph embeddings that evolve as the dialogue progresses. Au- tomatic and human evaluations show that our model is both more effective at achiev- ing the goal and more human-like than baseline neural and rule-based models. 
45;2017;Hybrid Code Networks: practical and efficient end-to-end dialog control with supervised and reinforcement learning;TLDR: Introduces a hybrid dialogue architecture that can be jointly trained via supervised learning as well as reinforcement learning and combines neural network techniques with fine-grained rule-based approaches.;https://arxiv.org/pdf/1702.03274.pdf;11; Dialogue Systems;"End-to-end learning of recurrent neural networks (RNNs) is an attractive solu- tion for dialog systems; however, cur- rent techniques are data-intensive and re- quire thousands of dialogs to learn sim- ple behaviors. We introduce Hybrid Code Networks (HCNs), which combine an RNN with domain-specific knowledge encoded as software and system action templates. Compared to existing end-to- end approaches, HCNs considerably re- duce the amount of training data required, while retaining the key benefit of inferring a latent representation of dialog state. In addition, HCNs can be optimized with su- pervised learning, reinforcement learning, or a mixture of both. HCNs attain state- of-the-art performance on the bAbI dialog dataset (Bordes and Weston, 2016), and outperform two commercially deployed customer-facing dialog systems. "
46;1971;Procedures as a Representation for Data in a Computer Program for Understanding Natural Language;TLDR: One of the seminal papers in computer science, introducing SHRDLU an early system for computers understanding human language commands.;http://hci.stanford.edu/~winograd/shrdlu/AITR-235.pdf;11; Dialogue Systems;
47;2016;Learning language games through interaction;TLDR: Introduces a novel setting for interacting with computers to accomplish a task where only natural language can be used to communicate with the system!;https://arxiv.org/pdf/1606.02447.pdf;11; Dialogue Systems;We demonstrate that an unlexicalized PCFG can parse much more accurately than previously shown, by making use of simple, linguistically motivated state splits, which break down false independence assumptions latent in a vanilla treebank grammar. Indeed, its performance of 86.36% (LP/LR F1) is better than that of early lexicalized PCFG models, and surprisingly close to the current state-of-the- art. This result has potential uses beyond establish- ing a strong lower bound on the maximum possi- ble accuracy of unlexicalized models: an unlexical- ized PCFG is much more compact, easier to repli- cate, and easier to interpret than more complex lex- ical models, and the parsing algorithms are simpler, more widely understood, of lower asymptotic com- plexity, and easier to optimize. 
48;2017;Naturalizing a programming language via interactive learning;TLDR: Very cool work allowing a community of workers to iteratively naturalize a language starting with a core set of commands in an interactive task.;https://arxiv.org/pdf/1704.06956.pdf;11; Dialogue Systems;Our goal is to create a convenient natu- ral language interface for performing well- specified but complex actions such as ana- lyzing data, manipulating text, and query- ing databases. However, existing natu- ral language interfaces for such tasks are quite primitive compared to the power one wields with a programming language. To bridge this gap, we start with a core pro- gramming language and allow users to “naturalize” the core language incremen- tally by defining alternative, more natural syntax and increasingly complex concepts in terms of compositions of simpler ones. In a voxel world, we show that a com- munity of users can simultaneously teach a common system a diverse language and use it to build hundreds of complex voxel structures. Over the course of three days, these users went from using only the core language to using the naturalized language in 85.9% of the last 10K utterances. 
49;1996;An Empirical Study of Smoothing Techniques for Language Modelling;TLDR: Performs an extensive survey of smoothing techniques in traditional language modelling systems.;https://aclweb.org/anthology/P96-1041;12; Interactive Learning;We present an extensive empirical com- parison of several smoothing techniques in the domain of language modeling, includ- ing those described by Jelinek and Mer- cer (1980), Katz (1987), and Church and Gale (1991). We investigate for the first time how factors such as training data size, corpus (e.g., Brown versus Wall Street Journal), and n-gram order (bigram versus trigram) affect the relative performance of these methods, which we measure through the cross-entropy of test data. In addition, we introduce two novel smoothing tech- niques, one a variation of Jelinek-Mercer smoothing and one a very simple linear in- terpolation technique, both of which out- perform existing methods.
50;2003;A Neural Probabilistic Language Model;TLDR: A seminal work in deep learning for NLP, introducing one of the earliest effective models for neural network-based language modelling.;http://www.jmlr.org/papers/volume3/bengio03a/bengio03a.pdf;12; Interactive Learning;A goal of statistical language modeling is to learn the joint probability function of sequences of words in a language. This is intrinsically difficult because of the curse of dimensionality: a word sequence on which the model will be tested is likely to be different from all the word sequences seen during training. Traditional but very successful approaches based on n-grams obtain generalization by concatenating very short overlapping sequences seen in the training set. We propose to fight the curse of dimensionality by learning a distributed representation for words which allows each training sentence to inform the model about an exponential number of semantically neighboring sentences. The model learns simultaneously (1) a distributed representation for each word along with (2) the probability function for word sequences, expressed in terms of these representations. Generalization is obtained because a sequence of words that has never been seen before gets high probability if it is made of words that are similar (in the sense of having a nearby representation) to words forming an already seen sentence. Training such large models (with millions of parameters) within a reasonable time is itself a significant challenge. We report on experiments using neural networks for the probability function, showing on two text corpora that the proposed approach significantly improves on state-of-the-art n-gram models, and that the proposed approach allows to take advantage of longer contexts.
51;2014;One Billion Word Benchmark for Measuring Progress in Statistical Language Modeling;TLDR: Introduces the Google One Billion Word language modelling benchmark.;https://arxiv.org/pdf/1312.3005.pdf;12; Interactive Learning;"We propose a new benchmark corpus to be used for measuring progress in statistical lan- guage modeling. With almost one billion words of training data, we hope this bench- mark will be useful to quickly evaluate novel language modeling techniques, and to com- pare their contribution when combined with other advanced techniques. We show perfor- mance of several well-known types of lan- guage models, with the best results achieved with a recurrent neural network based lan- guage model. The baseline unpruned Kneser- Ney 5-gram model achieves perplexity 67.6. A combination of techniques leads to 35% reduction in perplexity, or 10% reduction in cross-entropy (bits), over that baseline. The benchmark is available as a code.google.com project; besides the scripts needed to rebuild the training/held-out data, it also makes available log-probability values for each word in each of ten held-out data sets, for each of the baseline n-gram models."
52;2015;Character-Aware Neural Language Models;TLDR: Proposes a language model using convolutional neural networks that can employ character-level information, performing on-par with word-level LSTM systems.;https://arxiv.org/pdf/1508.06615.pdf;13; Language Modelling;We describe a simple neural language model that re- lies only on character-level inputs. Predictions are still made at the word-level. Our model employs a con- volutional neural network (CNN) and a highway net- work over characters, whose output is given to a long short-term memory (LSTM) recurrent neural net- work language model (RNN-LM). On the English Penn Treebank the model is on par with the existing state-of-the-art despite having 60% fewer parameters. On languages with rich morphology (Arabic, Czech, French, German, Spanish, Russian), the model out- performs word-level/morpheme-level LSTM baselines, again with fewer parameters. The results suggest that on many languages, character inputs are sufficient for lan- guage modeling. Analysis of word representations ob- tained from the character composition part of the model reveals that the model is able to encode, from characters only, both semantic and orthographic information. 
53;2016;Exploring the Limits of Language Modeling;TLDR: Introduces a mega language model system using deep learning that uses a variety of techniques and significantly performs the SOTA on the One Billion Words Benchmark.;https://arxiv.org/pdf/1602.02410.pdf;13; Language Modelling;In this work we explore recent advances in Re- current Neural Networks for large scale Lan- guage Modeling, a task central to language un- derstanding. We extend current models to deal with two key challenges present in this task: cor- pora and vocabulary sizes, and complex, long term structure of language. We perform an ex- haustive study on techniques such as character Convolutional Neural Networks or Long-Short Term Memory, on the One Billion Word Bench- mark. Our best single model significantly im- proves state-of-the-art perplexity from 51.3 down to 30.0 (whilst reducing the number of param- eters by a factor of 20), while an ensemble of models sets a new record by improving perplex- ity from 41.0 down to 23.7. We also release these models for the NLP and ML community to study and improve upon. 
54;2018;Deep contextualized word representations;TLDR: This paper introduces ELMO, a super powerful collection of word embeddings learned from the intermediate representations of a deep bidirectional LSTM language model. Achieved SOTA on 6 diverse NLP tasks.;https://arxiv.org/pdf/1802.05365.pdf;13; Language Modelling;We introduce a new type of deep contextual- ized word representation that models both (1) complex characteristics of word use (e.g., syn- tax and semantics), and (2) how these uses vary across linguistic contexts (i.e., to model polysemy). Our word vectors are learned func- tions of the internal states of a deep bidirec- tional language model (biLM), which is pre- trained on a large text corpus. We show that these representations can be easily added to existing models and significantly improve the state of the art across six challenging NLP problems, including question answering, tex- tual entailment and sentiment analysis. We also present an analysis showing that exposing the deep internals of the pre-trained network is crucial, allowing downstream models to mix different types of semi-supervision signals. 
55;2018;BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding;TLDR: One of the most important papers of 2018, introducing BERT a powerful architecture pretrained using language modelling which is then effectively transferred to other domain-specific tasks.;https://arxiv.org/pdf/1810.04805.pdf;13; Language Modelling;The problem of rare and unknown words is an important issue that can potentially effect the performance of many NLP sys- tems, including traditional count-based and deep learning models. We propose a novel way to deal with the rare and unseen words for the neural network models us- ing attention. Our model uses two softmax layers in order to predict the next word in conditional language models: one predicts the location of a word in the source sen- tence, and the other predicts a word in the shortlist vocabulary. At each timestep, the decision of which softmax layer to use is adaptively made by an MLP which is con- ditioned on the context. We motivate this work from a psychological evidence that humans naturally have a tendency to point towards objects in the context or the envi- ronment when the name of an object is not known. Using our proposed model, we ob- serve improvements on two tasks, neural machine translation on the Europarl En- glish to French parallel corpora and text summarization on the Gigaword dataset. 
56;2019;XLNet: Generalized Autoregressive Pretraining for Language Understanding;TLDR: Generalized autoregressive pretraining method that improves upon BERT by maximizing the expected likelihood over all permutations of the factorization order.;https://arxiv.org/pdf/1906.08237.pdf;13; Language Modelling;With the capability of modeling bidirectional contexts, denoising autoencoding based pretraining like BERT achieves better performance than pretraining ap- proaches based on autoregressive language modeling. However, relying on corrupt- ing the input with masks, BERT neglects dependency between the masked positions and suffers from a pretrain-finetune discrepancy. In light of these pros and cons, we propose XLNet, a generalized autoregressive pretraining method that (1) enables learning bidirectional contexts by maximizing the expected likelihood over all permutations of the factorization order and (2) overcomes the limitations of BERT thanks to its autoregressive formulation. Furthermore, XLNet integrates ideas from Transformer-XL, the state-of-the-art autoregressive model, into pretraining. Empirically, XLNet outperforms BERT on 20 tasks, often by a large margin, and achieves state-of-the-art results on 18 tasks including question answering, natural language inference, sentiment analysis, and document ranking 
58;2000;Maximum Entropy Markov Models for Information Extraction and Segmentation;TLDR: Introduces Markov Entropy Markov models for information extraction, a commonly used ML technique in classical NLP.;https://www.seas.upenn.edu/~strctlrn/bib/PDF/memm-icml2000.pdf;13; Language Modelling;Hidden Markov models (HMMs) are a powerful probabilistic tool for modeling sequential data, and have been applied with success to many text-related tasks, such as part-of-speech tagging, text segmentation and information extraction. In these cases, the observations are usually mod- eled as multinomial distributions over a discrete vocabulary, and the HMM parameters are set to maximize the likelihood of the observations. This paper presents a new Markovian sequence model, closely related to HMMs, that allows ob- servations to be represented as arbitrary overlap- ping features (such as word, capitalization, for- matting, part-of-speech), and defines the condi- tional probability of state sequences given ob- servation sequences. It does this by using the maximum entropy framework to fit a set of expo- nential models that represent the probability of a state given an observation and the previous state. We present positive experimental results on the segmentation of FAQ’s. 
59;2010;From Frequency to Meaning: Vector Space Models of Semantics;TLDR: A wonderful survey of existing vector space models for learning semantics in text.;https://arxiv.org/pdf/1003.1141.pdf;13; Language Modelling;Computers understand very little of the meaning of human language. This profoundly limits our ability to give instructions to computers, the ability of computers to explain their actions to us, and the ability of computers to analyse and process text. Vector space models (VSMs) of semantics are beginning to address these limits. This paper surveys the use of VSMs for semantic processing of text. We organize the literature on VSMs according to the structure of the matrix in a VSM. There are currently three broad classes of VSMs, based on term–document, word–context, and pair–pattern matrices, yielding three classes of applications. We survey a broad range of applications in these three categories and we take a detailed look at a specific open source project in each category. Our goal in this survey is to show the breadth of applications of VSMs for semantics, to provide a new perspective on VSMs for those who are already familiar with the area, and to provide pointers into the literature for those who are less familiar with the field 
60;2012;An Introduction to Conditional Random Fields;TLDR: A nice, in-depth overview of conditional random fields, a commonly-used sequence-labelling model.;http://homepages.inf.ed.ac.uk/csutton/publications/crftut-fnt.pdf;13; Language Modelling;Many tasks involve predicting a large number of variables that depend on each other as well as on other observed variables. Structured prediction methods are essentially a combination of classification and graphical modeling. They combine the ability of graphical models to compactly model multivariate data with the ability of classifica- tion methods to perform prediction using large sets of input features. This survey describes conditional random fields, a popular probabilistic method for structured prediction. CRFs have seen wide application in many areas, including natural language processing, computer vision, and bioinformatics. We describe methods for inference and parame- ter estimation for CRFs, including practical issues for implementing large-scale CRFs. We do not assume previous knowledge of graphical modeling, so this survey is intended to be useful to practitioners in a wide variety of fields. 
61;2014;Glove: Global vectors for word representation;TLDR: Introduces Glove word embeddings, one of the most commonly used pretrained word embedding techniques across all flavors of NLP models;https://nlp.stanford.edu/pubs/glove.pdf;14; Miscellanea;Recent methods for learning vector space representations of words have succeeded in capturing fine-grained semantic and syntactic regularities using vector arith- metic, but the origin of these regularities has remained opaque. We analyze and make explicit the model properties needed for such regularities to emerge in word vectors. The result is a new global log- bilinear regression model that combines the advantages of the two major model families in the literature: global matrix factorization and local context window methods. Our model efficiently leverages statistical information by training only on the nonzero elements in a word-word co- occurrence matrix, rather than on the en- tire sparse matrix or on individual context windows in a large corpus. The model pro- duces a vector space with meaningful sub- structure, as evidenced by its performance of 75% on a recent word analogy task. It also outperforms related models on simi- larity tasks and named entity recognition. 
62;2014;Don‚Äôt count, predict! A systematic comparison of context-counting vs. context-predicting semantic vectors;TLDR: Important paper demonstrating that context-predicting distributional semantics approaches outperform count-based techniques.;http://www.aclweb.org/anthology/P14-1023;14; Miscellanea;Context-predicting models (more com- monly known as embeddings or neural language models) are the new kids on the distributional semantics block. Despite the buzz surrounding these models, the litera- ture is still lacking a systematic compari- son of the predictive models with classic, count-vector-based distributional semantic approaches. In this paper, we perform such an extensive evaluation, on a wide range of lexical semantics tasks and across many parameter settings. The results, to our own surprise, show that the buzz is fully justified, as the context-predicting models obtain a thorough and resounding victory against their count-based counter- parts. 
63;2015;Improving Distributional Similarity with Lessons Learned From Word Embeddings;TLDR: Demonstrates that traditional distributional semantics techniques can be enhanced with certain design choices and hyperparameter optimizations that make their performance rival that of neural network-based embedding methods.;https://www.aclweb.org/anthology/Q15-1016;14; Miscellanea;Recent trends suggest that neural- network-inspired word embedding models outperform traditional count-based distri- butional models on word similarity and analogy detection tasks. We reveal that much of the performance gains of word embeddings are due to certain system design choices and hyperparameter op- timizations, rather than the embedding algorithms themselves. Furthermore, we show that these modifications can be transferred to traditional distributional models, yielding similar gains. In contrast to prior reports, we observe mostly local or insignificant performance differences between the methods, with no global advantage to any single approach over the others. 
64;2018;Universal Language Model Fine-tuning for Text Classification;TLDR: Provides a smorgasbord of nice techniques for finetuning language models that can be effectively transferred to text classification tasks.;https://arxiv.org/pdf/1801.06146.pdf;14; Miscellanea;Inductive transfer learning has greatly im- pacted computer vision, but existing ap- proaches in NLP still require task-specific modifications and training from scratch. We propose Universal Language Model Fine-tuning (ULMFiT), an effective trans- fer learning method that can be applied to any task in NLP, and introduce techniques that are key for fine-tuning a language model. Our method significantly outper- forms the state-of-the-art on six text clas- sification tasks, reducing the error by 18- 24% on the majority of datasets. Further- more, with only 100 labeled examples, it matches the performance of training from scratch on 100_ more data. We open- source our pretrained models and code 
65;2019;Analogies Explained: Towards Understanding Word Embeddings;TLDR: Very nice work providing a mathematical formalism for understanding some of the paraphrasing properties of modern word embeddings.;https://arxiv.org/pdf/1901.09813.pdf;14; Miscellanea;Word embeddings generated by neural network methods such as word2vec (W2V) are well known to exhibit seemingly linear behaviour, e.g. the embeddings of analogy “woman is to queen as man is to king” approximately describe a paral- lelogram. This property is particularly intriguing since the embeddings are not trained to achieve it. Several explanations have been proposed, but each introduces assumptions that do not hold in practice. We derive a probabilistically grounded definition of paraphrasing that we re-interpret as word transformation, a mathematical descrip- tion of “wx is to wy”. From these concepts we prove existence of linear relationships between W2V-type embeddings that underlie the analogi- cal phenomenon, identifying explicit error terms. 
